eval_group,set,target,method,n,pos,auprc,auroc,failure_rate,mean_dice,noise,diff_vs_sam_auprc,diff_ci_low,diff_ci_high,diff_p
noise=0.05,Kvasir-SEG,failure,Mask IoU disag.,75,9,0.5321176281960596,0.9175084175084174,0.12,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,failure,SPRC no-conf top2,75,9,0.7121091871091871,0.9595959595959596,0.12,0.8575808631619324,0.05,,,,
noise=0.05,pooled_heldout,failure80,SPRC-CB,525,46,0.5116088740891166,0.9032858309884724,0.08761904761904762,0.8901353750795116,0.05,0.10755109391664366,0.04538944886686728,0.17264916497819072,0.002
noise=0.05,pooled_heldout,failure80,SAM IoU min,525,46,0.3994187309359614,0.8531814468548606,0.08761904761904762,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,failure80,Prompt-pert. unc.,525,46,0.35383006830733166,0.8694290641735499,0.08761904761904762,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,failure80,Mask IoU disag.,525,46,0.37211283842403187,0.8716075156576201,0.08761904761904762,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,failure80,SPRC no-conf top2,525,46,0.5387043858048025,0.9059408187346829,0.08761904761904762,0.8901353750795116,0.05,,,,
noise=0.05,CVC-ClinicDB,failure80,SPRC-CB,150,17,0.4939950093502429,0.8976116762494472,0.11333333333333333,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,failure80,SAM IoU min,150,17,0.3445313675572855,0.8089340999557717,0.11333333333333333,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,failure80,Prompt-pert. unc.,150,17,0.3489914540421065,0.8766032728881026,0.11333333333333333,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,failure80,Mask IoU disag.,150,17,0.35487145261996267,0.875718708536046,0.11333333333333333,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,failure80,SPRC no-conf top2,150,17,0.46382512894826594,0.9053516143299425,0.11333333333333333,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ColonDB,failure80,SPRC-CB,150,12,0.31954488910857537,0.8013285024154589,0.08,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,failure80,SAM IoU min,150,12,0.251380406814388,0.7584541062801933,0.08,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,failure80,Prompt-pert. unc.,150,12,0.23192818787093408,0.734903381642512,0.08,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,failure80,Mask IoU disag.,150,12,0.25414942742907237,0.7415458937198067,0.08,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,failure80,SPRC no-conf top2,150,12,0.32940264378234296,0.7958937198067633,0.08,0.8918060624839942,0.05,,,,
noise=0.05,ETIS-Larib,failure80,SPRC-CB,150,6,0.7564745196324144,0.9583333333333334,0.04,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,failure80,SAM IoU min,150,6,0.723087098087098,0.9826388888888888,0.04,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,failure80,Prompt-pert. unc.,150,6,0.6952482702482702,0.8946759259259259,0.04,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,failure80,Mask IoU disag.,150,6,0.7818223443223443,0.8981481481481481,0.04,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,failure80,SPRC no-conf top2,150,6,0.7980599647266313,0.9108796296296297,0.04,0.9093480040239638,0.05,,,,
noise=0.05,Kvasir-SEG,failure80,SPRC-CB,75,11,0.6369047619047619,0.9332386363636364,0.14666666666666667,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,failure80,SAM IoU min,75,11,0.6049253368579351,0.8963068181818181,0.14666666666666667,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,failure80,Prompt-pert. unc.,75,11,0.5380016448198266,0.9261363636363636,0.14666666666666667,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,failure80,Mask IoU disag.,75,11,0.5951655593366824,0.9289772727272727,0.14666666666666667,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,failure80,SPRC no-conf top2,75,11,0.7657838121474485,0.9545454545454546,0.14666666666666667,0.8575808631619324,0.05,,,,
noise=0.05,pooled_heldout,severe_failure,SPRC-CB,525,13,0.3320979593641117,0.9456129807692307,0.024761904761904763,0.8901353750795116,0.05,0.07465366595462891,-0.05132980344532196,0.20304111843533212,0.212
noise=0.05,pooled_heldout,severe_failure,SAM IoU min,525,13,0.25824699246973915,0.9253305288461537,0.024761904761904763,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,severe_failure,Prompt-pert. unc.,525,13,0.1743718119874668,0.9223257211538461,0.024761904761904763,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,severe_failure,Mask IoU disag.,525,13,0.19295071158726543,0.9253305288461539,0.024761904761904763,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,severe_failure,SPRC no-conf top2,525,13,0.33062795340798284,0.943134014423077,0.024761904761904763,0.8901353750795116,0.05,,,,
noise=0.05,CVC-ClinicDB,severe_failure,SPRC-CB,150,3,0.21428571428571427,0.9251700680272109,0.02,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,severe_failure,SAM IoU min,150,3,0.21618357487922704,0.8843537414965986,0.02,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,severe_failure,Prompt-pert. unc.,150,3,0.11719576719576719,0.8956916099773242,0.02,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,severe_failure,Mask IoU disag.,150,3,0.12059386973180078,0.8956916099773243,0.02,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,severe_failure,SPRC no-conf top2,150,3,0.18223443223443225,0.927437641723356,0.02,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ColonDB,severe_failure,SPRC-CB,150,1,0.017241379310344827,0.6174496644295302,0.006666666666666667,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,severe_failure,SAM IoU min,150,1,0.01639344262295082,0.5973154362416108,0.006666666666666667,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,severe_failure,Prompt-pert. unc.,150,1,0.01818181818181818,0.6375838926174497,0.006666666666666667,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,severe_failure,Mask IoU disag.,150,1,0.018518518518518517,0.6442953020134228,0.006666666666666667,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,severe_failure,SPRC no-conf top2,150,1,0.013513513513513514,0.5100671140939597,0.006666666666666667,0.8918060624839942,0.05,,,,
noise=0.05,ETIS-Larib,severe_failure,SPRC-CB,150,5,0.8761904761904762,0.9944827586206896,0.03333333333333333,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,severe_failure,SAM IoU min,150,5,0.7753968253968253,0.9889655172413793,0.03333333333333333,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,severe_failure,Prompt-pert. unc.,150,5,0.8211111111111111,0.9917241379310344,0.03333333333333333,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,severe_failure,Mask IoU disag.,150,5,0.925,0.9958620689655172,0.03333333333333333,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,severe_failure,SPRC no-conf top2,150,5,0.9428571428571428,0.9972413793103448,0.03333333333333333,0.9093480040239638,0.05,,,,
noise=0.05,Kvasir-SEG,severe_failure,SPRC-CB,75,4,0.44047619047619047,0.9577464788732394,0.05333333333333334,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,severe_failure,SAM IoU min,75,4,0.5,0.9647887323943661,0.05333333333333334,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,severe_failure,Prompt-pert. unc.,75,4,0.3617424242424242,0.9295774647887324,0.05333333333333334,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,severe_failure,Mask IoU disag.,75,4,0.5075757575757576,0.9401408450704225,0.05333333333333334,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,severe_failure,SPRC no-conf top2,75,4,0.42986111111111114,0.9507042253521126,0.05333333333333334,0.8575808631619324,0.05,,,,
noise=0.10,pooled_heldout,failure,SPRC-CB,525,35,0.5340493446718174,0.9309912536443149,0.06666666666666667,0.8746099981438821,0.1,0.17741337696262807,0.09516173528665059,0.2530647710192943,0.0
noise=0.10,pooled_heldout,failure,SAM IoU min,525,35,0.34234543999231076,0.8988921282798833,0.06666666666666667,0.8746099981438821,0.1,,,,
noise=0.10,pooled_heldout,failure,Prompt-pert. unc.,525,35,0.44345613836778247,0.8941107871720116,0.06666666666666667,0.8746099981438821,0.1,,,,
noise=0.10,pooled_heldout,failure,Mask IoU disag.,525,35,0.49856770411305684,0.8953935860058309,0.06666666666666667,0.8746099981438821,0.1,,,,
noise=0.10,pooled_heldout,failure,SPRC no-conf top2,525,35,0.5718620500198698,0.9228571428571428,0.06666666666666667,0.8746099981438821,0.1,,,,
noise=0.10,CVC-ClinicDB,failure,SPRC-CB,150,15,0.48699019162730334,0.8898765432098765,0.1,0.8588860658862597,0.1,,,,
noise=0.10,CVC-ClinicDB,failure,SAM IoU min,150,15,0.2849676585334617,0.8276543209876543,0.1,0.8588860658862597,0.1,,,,
